FED,day,zthour,Binary_Pellets
FED012,-2,18,20.0
FED012,-2,19,2.0
FED012,-2,20,14.0
FED012,-2,21,2.0
FED012,-2,22,11.0
FED012,-2,23,10.0
FED014,-5,0,13.0
FED014,-5,1,1.0
FED014,-5,2,1.0
FED014,-5,3,6.0
FED014,-5,4,3.0
FED014,-5,5,6.0
FED014,-5,6,3.0
FED014,-5,7,4.0
FED014,-5,8,6.0
FED014,-5,9,3.0
FED014,-5,10,10.0
FED014,-5,11,12.0
FED014,-5,12,6.0
FED014,-5,13,18.0
FED014,-5,14,19.0
FED014,-5,15,23.0
FED014,-5,16,33.0
FED014,-5,17,7.0
FED014,-5,18,8.0
FED014,-5,19,20.0
FED014,-5,20,10.0
FED014,-5,21,10.0
FED014,-5,22,10.0
FED014,-5,23,4.0
FED014,-4,1,8.0
FED014,-4,2,11.0
FED014,-4,3,6.0
FED014,-4,4,5.0
FED014,-4,5,7.0
FED014,-4,6,7.0
FED014,-4,7,10.0
FED014,-4,8,5.0
FED014,-4,9,8.0
FED014,-4,10,7.0
FED014,-4,11,15.0
FED014,-4,12,7.0
FED014,-4,13,19.0
FED014,-4,14,24.0
FED014,-4,15,22.0
FED014,-4,16,19.0
FED014,-4,17,12.0
FED014,-4,18,5.0
FED014,-4,19,18.0
FED014,-4,21,18.0
FED014,-4,22,8.0
FED014,-3,0,14.0
FED014,-3,1,15.0
FED014,-3,2,8.0
FED014,-3,4,12.0
FED014,-3,5,1.0
FED014,-3,6,6.0
FED014,-3,7,9.0
FED014,-3,9,11.0
FED014,-3,10,12.0
FED014,-3,11,20.0
FED014,-3,12,20.0
FED014,-3,13,45.0
FED014,-3,14,22.0
FED014,-3,15,31.0
FED014,-3,16,40.0
FED014,-3,17,28.0
FED014,-3,18,12.0
FED014,-3,19,13.0
FED014,-3,20,23.0
FED014,-3,22,24.0
FED014,-2,0,27.0
FED014,-2,2,13.0
FED014,-2,3,12.0
FED014,-2,4,2.0
FED014,-2,5,4.0
FED014,-2,6,1.0
FED014,-2,7,12.0
FED014,-2,8,22.0
FED014,-2,9,10.0
FED014,-2,10,17.0
FED014,-2,11,29.0
FED014,-2,12,8.0
FED014,-2,13,38.0
FED014,-2,14,32.0
FED014,-2,15,40.0
FED014,-2,16,20.0
FED014,-2,17,21.0
FED014,-2,19,26.0
FED014,-2,20,5.0
FED014,-2,21,17.0
FED014,-2,23,28.0
FED015,-5,0,4.0
FED015,-5,1,5.0
FED015,-5,2,8.0
FED015,-5,3,7.0
FED015,-5,5,6.0
FED015,-5,6,4.0
FED015,-5,7,2.0
FED015,-5,8,7.0
FED015,-5,9,7.0
FED015,-5,10,12.0
FED015,-5,11,2.0
FED015,-5,12,13.0
FED015,-5,13,11.0
FED015,-5,14,12.0
FED015,-5,15,18.0
FED015,-5,16,20.0
FED015,-5,17,13.0
FED015,-5,18,9.0
FED015,-5,19,3.0
FED015,-5,20,15.0
FED015,-5,21,4.0
FED015,-5,22,10.0
FED015,-5,23,7.0
FED015,-4,0,10.0
FED015,-4,2,3.0
FED015,-4,3,13.0
FED015,-4,5,7.0
FED015,-4,6,2.0
FED015,-4,7,4.0
FED015,-4,8,4.0
FED015,-4,9,6.0
FED015,-4,10,4.0
FED015,-4,11,14.0
FED015,-4,12,10.0
FED015,-4,13,4.0
FED015,-4,14,13.0
FED015,-4,15,15.0
FED015,-4,16,13.0
FED015,-4,17,18.0
FED015,-4,18,15.0
FED015,-4,19,13.0
FED015,-4,21,19.0
FED015,-4,22,8.0
FED015,-4,23,6.0
FED015,-3,0,18.0
FED015,-3,2,5.0
FED015,-3,3,8.0
FED015,-3,4,8.0
FED015,-3,6,6.0
FED015,-3,8,9.0
