device_number,hoursfloor,poke_reward,count,mode,sex,days
8,-62,pellet,13,Empty,f,-3
8,-61,pellet,22,Empty,f,-3
8,-60,pellet,20,Empty,f,-3
8,-59,pellet,19,Empty,f,-3
8,-58,pellet,6,Empty,f,-3
8,-57,pellet,0,Empty,f,-3
8,-56,pellet,15,Empty,f,-3
8,-55,pellet,6,Empty,f,-3
8,-54,pellet,8,Empty,f,-3
8,-53,pellet,10,Empty,f,-3
8,-52,pellet,1,Empty,f,-3
8,-51,pellet,3,Empty,f,-3
8,-50,pellet,5,Empty,f,-3
8,-49,pellet,1,Empty,f,-3
8,-48,pellet,5,Empty,f,-2
8,-47,pellet,7,Empty,f,-2
8,-46,pellet,0,Empty,f,-2
8,-45,pellet,10,Empty,f,-2
8,-44,pellet,7,Empty,f,-2
8,-43,pellet,6,Empty,f,-2
8,-42,pellet,10,Empty,f,-2
8,-41,pellet,11,Empty,f,-2
8,-40,pellet,6,Empty,f,-2
8,-39,pellet,9,Empty,f,-2
8,-38,pellet,16,Empty,f,-2
8,-37,pellet,7,Empty,f,-2
8,-36,pellet,16,Empty,f,-2
8,-35,pellet,7,Empty,f,-2
8,-34,pellet,0,Empty,f,-2
8,-33,pellet,11,Empty,f,-2
8,-32,pellet,8,Empty,f,-2
8,-31,pellet,2,Empty,f,-2
8,-30,pellet,0,Empty,f,-2
8,-29,pellet,10,Empty,f,-2
8,-28,pellet,9,Empty,f,-2
8,-27,pellet,0,Empty,f,-2
8,-26,pellet,2,Empty,f,-2
8,-25,pellet,6,Empty,f,-2
8,-24,pellet,0,Empty,f,-1
8,-23,pellet,5,Empty,f,-1
8,-22,pellet,4,Empty,f,-1
8,-21,pellet,16,Empty,f,-1
8,-20,pellet,5,Empty,f,-1
8,-19,pellet,11,Empty,f,-1
8,-18,pellet,5,Empty,f,-1
8,-17,pellet,15,Empty,f,-1
8,-16,pellet,21,Empty,f,-1
8,-15,pellet,13,Empty,f,-1
8,-14,pellet,13,Empty,f,-1
8,-13,pellet,24,Empty,f,-1
8,-12,pellet,11,Empty,f,-1
8,-11,pellet,0,Empty,f,-1
8,-10,pellet,8,Empty,f,-1
8,-9,pellet,0,Empty,f,-1
8,-8,pellet,19,Empty,f,-1
8,-7,pellet,0,Empty,f,-1
8,-6,pellet,10,Empty,f,-1
8,-5,pellet,1,Empty,f,-1
8,-4,pellet,0,Empty,f,-1
8,-3,pellet,0,Empty,f,-1
8,-2,pellet,0,Empty,f,-1
8,-1,pellet,0,Empty,f,-1
8,0,pellet,0,Social,f,0
8,1,pellet,5,Social,f,0
8,2,pellet,7,Social,f,0
8,3,pellet,4,Social,f,0
8,4,pellet,13,Social,f,0
8,5,pellet,2,Social,f,0
8,6,pellet,20,Social,f,0
8,7,pellet,6,Social,f,0
8,8,pellet,9,Social,f,0
8,9,pellet,17,Social,f,0
8,10,pellet,13,Social,f,0
8,11,pellet,6,Social,f,0
8,12,pellet,17,Social,f,0
8,13,pellet,10,Social,f,0
8,14,pellet,9,Social,f,0
8,15,pellet,13,Social,f,0
8,16,pellet,10,Social,f,0
8,17,pellet,0,Social,f,0
8,18,pellet,2,Social,f,0
8,19,pellet,6,Social,f,0
8,20,pellet,9,Social,f,0
8,21,pellet,0,Social,f,0
8,22,pellet,6,Social,f,0
8,23,pellet,0,Social,f,0
8,24,pellet,8,Social,f,1
8,25,pellet,7,Social,f,1
8,26,pellet,0,Social,f,1
8,27,pellet,7,Social,f,1
8,28,pellet,0,Social,f,1
8,29,pellet,6,Social,f,1
8,30,pellet,9,Social,f,1
8,31,pellet,0,Social,f,1
8,32,pellet,14,Social,f,1
8,33,pellet,14,Social,f,1
8,34,pellet,1,Social,f,1
8,35,pellet,7,Social,f,1
8,36,pellet,9,Social,f,1
