device_number,hoursfloor,poke_reward,count,mode,sex,days
3,31,pellet,17,Social,m,1
3,32,pellet,13,Social,m,1
3,33,pellet,10,Social,m,1
3,34,pellet,12,Social,m,1
3,35,pellet,4,Social,m,1
3,36,pellet,13,Social,m,1
3,37,pellet,3,Social,m,1
3,38,pellet,3,Social,m,1
3,39,pellet,8,Social,m,1
3,40,pellet,10,Social,m,1
3,41,pellet,6,Social,m,1
3,42,pellet,6,Social,m,1
3,43,pellet,6,Social,m,1
3,44,pellet,4,Social,m,1
3,45,pellet,8,Social,m,1
3,46,pellet,6,Social,m,1
3,47,pellet,6,Social,m,1
3,48,pellet,6,Social,m,2
3,49,pellet,3,Social,m,2
3,50,pellet,8,Social,m,2
3,51,pellet,13,Social,m,2
3,52,pellet,18,Social,m,2
3,53,pellet,28,Social,m,2
3,54,pellet,14,Social,m,2
3,55,pellet,21,Social,m,2
3,56,pellet,12,Social,m,2
3,57,pellet,7,Social,m,2
3,58,pellet,3,Social,m,2
3,59,pellet,12,Social,m,2
3,60,pellet,13,Social,m,2
3,61,pellet,8,Social,m,2
3,62,pellet,1,Social,m,2
3,63,pellet,12,Social,m,2
3,64,pellet,10,Social,m,2
3,65,pellet,0,Social,m,2
3,66,pellet,14,Social,m,2
3,67,pellet,0,Social,m,2
3,68,pellet,6,Social,m,2
3,69,pellet,6,Social,m,2
3,70,pellet,4,Social,m,2
3,71,pellet,7,Social,m,2
4,-72,pellet,9,Empty,f,-3
4,-71,pellet,4,Empty,f,-3
4,-70,pellet,10,Empty,f,-3
4,-69,pellet,12,Empty,f,-3
4,-68,pellet,5,Empty,f,-3
4,-67,pellet,4,Empty,f,-3
4,-66,pellet,6,Empty,f,-3
4,-65,pellet,9,Empty,f,-3
4,-64,pellet,14,Empty,f,-3
4,-63,pellet,13,Empty,f,-3
4,-62,pellet,11,Empty,f,-3
4,-61,pellet,27,Empty,f,-3
4,-60,pellet,22,Empty,f,-3
4,-59,pellet,17,Empty,f,-3
4,-58,pellet,9,Empty,f,-3
4,-57,pellet,6,Empty,f,-3
4,-56,pellet,5,Empty,f,-3
4,-55,pellet,7,Empty,f,-3
4,-54,pellet,12,Empty,f,-3
4,-53,pellet,5,Empty,f,-3
4,-52,pellet,2,Empty,f,-3
4,-51,pellet,8,Empty,f,-3
4,-50,pellet,7,Empty,f,-3
4,-49,pellet,2,Empty,f,-3
4,-48,pellet,13,Empty,f,-2
4,-47,pellet,5,Empty,f,-2
4,-46,pellet,2,Empty,f,-2
4,-45,pellet,6,Empty,f,-2
4,-44,pellet,5,Empty,f,-2
4,-43,pellet,5,Empty,f,-2
4,-42,pellet,11,Empty,f,-2
4,-41,pellet,5,Empty,f,-2
4,-40,pellet,7,Empty,f,-2
4,-39,pellet,5,Empty,f,-2
4,-38,pellet,14,Empty,f,-2
4,-37,pellet,12,Empty,f,-2
4,-36,pellet,15,Empty,f,-2
4,-35,pellet,16,Empty,f,-2
4,-34,pellet,9,Empty,f,-2
4,-33,pellet,7,Empty,f,-2
4,-32,pellet,6,Empty,f,-2
4,-31,pellet,4,Empty,f,-2
4,-30,pellet,8,Empty,f,-2
4,-29,pellet,0,Empty,f,-2
4,-28,pellet,8,Empty,f,-2
4,-27,pellet,7,Empty,f,-2
4,-26,pellet,4,Empty,f,-2
4,-25,pellet,6,Empty,f,-2
4,-24,pellet,3,Empty,f,-1
4,-23,pellet,7,Empty,f,-1
4,-22,pellet,15,Empty,f,-1
4,-21,pellet,0,Empty,f,-1
4,-20,pellet,12,Empty,f,-1
4,-19,pellet,7,Empty,f,-1
4,-18,pellet,8,Empty,f,-1
4,-17,pellet,6,Empty,f,-1
4,-16,pellet,12,Empty,f,-1
4,-15,pellet,10,Empty,f,-1
4,-14,pellet,10,Empty,f,-1
4,-13,pellet,15,Empty,f,-1
4,-12,pellet,12,Empty,f,-1
