,day,device_number,behavior,event,sex
218,9,8,Exploring,14,f
219,9,8,Seeking,63,f
220,10,8,Exploring,15,f
221,10,8,Seeking,61,f
222,11,8,Exploring,31,f
223,11,8,Seeking,75,f
224,12,8,Exploring,16,f
225,12,8,Seeking,47,f
226,13,8,Exploring,0,f
227,13,8,Seeking,0,f
228,-5,10,Exploring,34,m
229,-5,10,Seeking,0,m
230,-4,10,Exploring,11,m
231,-4,10,Seeking,1,m
232,-3,10,Exploring,7,m
233,-3,10,Seeking,8,m
234,-2,10,Exploring,16,m
235,-2,10,Seeking,17,m
236,-1,10,Exploring,12,m
237,-1,10,Seeking,14,m
238,0,10,Exploring,4,m
239,0,10,Seeking,61,m
240,1,10,Exploring,23,m
241,1,10,Seeking,99,m
242,2,10,Exploring,7,m
243,2,10,Seeking,56,m
244,3,10,Exploring,7,m
245,3,10,Seeking,57,m
246,4,10,Exploring,3,m
247,4,10,Seeking,50,m
248,5,10,Exploring,6,m
249,5,10,Seeking,72,m
254,8,10,Exploring,3,m
255,8,10,Seeking,75,m
256,9,10,Exploring,5,m
257,9,10,Seeking,87,m
258,10,10,Exploring,5,m
259,10,10,Seeking,42,m
260,11,10,Exploring,8,m
261,11,10,Seeking,29,m
262,12,10,Exploring,4,m
263,12,10,Seeking,23,m
264,13,10,Exploring,3,m
265,13,10,Seeking,21,m
266,-5,11,Exploring,2,m
267,-5,11,Seeking,5,m
268,-4,11,Exploring,7,m
269,-4,11,Seeking,31,m
270,-3,11,Exploring,11,m
271,-3,11,Seeking,45,m
272,-2,11,Exploring,11,m
273,-2,11,Seeking,27,m
274,-1,11,Exploring,10,m
275,-1,11,Seeking,31,m
276,0,11,Exploring,0,m
277,0,11,Seeking,133,m
278,1,11,Exploring,8,m
279,1,11,Seeking,124,m
280,2,11,Exploring,2,m
281,2,11,Seeking,71,m
282,3,11,Exploring,4,m
283,3,11,Seeking,55,m
284,4,11,Exploring,10,m
285,4,11,Seeking,47,m
286,5,11,Exploring,9,m
287,5,11,Seeking,58,m
288,6,11,Exploring,6,m
289,6,11,Seeking,73,m
290,7,11,Exploring,5,m
291,7,11,Seeking,60,m
292,8,11,Exploring,7,m
293,8,11,Seeking,54,m
294,9,11,Exploring,6,m
295,9,11,Seeking,79,m
296,10,11,Exploring,11,m
297,10,11,Seeking,35,m
298,11,11,Exploring,15,m
299,11,11,Seeking,21,m
300,12,11,Exploring,9,m
301,12,11,Seeking,25,m
302,13,11,Exploring,19,m
303,13,11,Seeking,18,m
304,-5,12,Exploring,14,m
305,-5,12,Seeking,7,m
306,-4,12,Exploring,10,m
307,-4,12,Seeking,12,m
308,-3,12,Exploring,31,m
309,-3,12,Seeking,33,m
310,-2,12,Exploring,23,m
311,-2,12,Seeking,15,m
312,-1,12,Exploring,17,m
313,-1,12,Seeking,28,m
314,0,12,Exploring,25,m
315,0,12,Seeking,99,m
316,1,12,Exploring,15,m
317,1,12,Seeking,91,m
318,2,12,Exploring,14,m
319,2,12,Seeking,53,m
320,3,12,Exploring,6,m
321,3,12,Seeking,62,m
322,4,12,Exploring,12,m
323,4,12,Seeking,78,m
324,5,12,Exploring,24,m
325,5,12,Seeking,77,m
326,6,12,Exploring,14,m
327,6,12,Seeking,60,m
328,7,12,Exploring,11,m
329,7,12,Seeking,48,m
330,8,12,Exploring,17,m
331,8,12,Seeking,50,m
332,9,12,Exploring,12,m
333,9,12,Seeking,49,m
334,10,12,Exploring,9,m
335,10,12,Seeking,26,m
336,11,12,Exploring,8,m
337,11,12,Seeking,23,m
338,12,12,Exploring,8,m
339,12,12,Seeking,26,m
340,13,12,Exploring,6,m
341,13,12,Seeking,14,m
342,-5,14,Exploring,30,f
343,-5,14,Seeking,14,f
344,-4,14,Exploring,2,f
345,-4,14,Seeking,32,f
346,-3,14,Exploring,3,f
347,-3,14,Seeking,23,f
348,-2,14,Exploring,3,f
349,-2,14,Seeking,20,f
350,-1,14,Exploring,8,f
351,-1,14,Seeking,30,f
352,0,14,Exploring,5,f
353,0,14,Seeking,73,f
354,1,14,Exploring,9,f
355,1,14,Seeking,73,f
356,2,14,Exploring,20,f
357,2,14,Seeking,59,f
358,3,14,Exploring,15,f
359,3,14,Seeking,68,f
360,4,14,Exploring,15,f
361,4,14,Seeking,67,f
362,5,14,Exploring,20,f
363,5,14,Seeking,67,f
364,6,14,Exploring,19,f
365,6,14,Seeking,78,f
366,7,14,Exploring,25,f
367,7,14,Seeking,81,f
368,8,14,Exploring,30,f
369,8,14,Seeking,73,f
370,9,14,Exploring,44,f
371,9,14,Seeking,74,f
372,10,14,Exploring,39,f
373,10,14,Seeking,50,f
374,11,14,Exploring,28,f
375,11,14,Seeking,34,f
376,12,14,Exploring,28,f
377,12,14,Seeking,33,f
378,13,14,Exploring,31,f
379,13,14,Seeking,42,f
380,-5,15,Exploring,22,f
381,-5,15,Seeking,24,f
382,-4,15,Exploring,15,f
383,-4,15,Seeking,29,f
384,-3,15,Exploring,15,f
