Time,553,549,561,EB0,E95,EA2,E94,E8D
12/22/2024 12:00,0.142,0.0244,0.0244,45.2,7.15,14.1,8.31,3.26
12/22/2024 13:00,0.0244,1.09,2.8,9.79,0.65,14.4,4.54,12.3
12/22/2024 14:00,0.0551,3.12,0.0244,5.01,14.8,23.9,9.12,1.17
12/22/2024 15:00,15.9,3.58,0.0244,24.5,1.14,11.7,40.6,10.7
12/22/2024 16:00,0.0244,3.16,1.45,3.03,12.8,3,1.66,1.56
12/22/2024 17:00,0.328,0.0244,10.8,25,8.96,17.7,6.89,5.13
12/22/2024 18:00,18.3,9.74,49.6,35.8,40.9,25.7,15.5,28.8
12/22/2024 19:00,12.2,36.3,29.6,51.2,30.4,55.3,41.8,19.1
12/22/2024 20:00,12.3,11.9,22,54.3,45.1,50.4,43.4,44.4
12/22/2024 21:00,15.6,23.2,6.76,45.3,24.7,53.8,26.5,33.7
12/22/2024 22:00,24.5,40.7,51.1,50,33.1,39.7,32.5,37.2
12/22/2024 23:00,35.4,41.2,19.3,50.1,45.6,59.4,28.2,27.8
12/23/2024 0:00,16.2,0.204,34.8,54,33.1,29.5,4.55,2.58
12/23/2024 1:00,20.3,5.67,3.08,47,9.89,56.5,42.3,33.3
12/23/2024 2:00,17.5,26.3,27.5,43,25.5,58.1,36.2,42.1
12/23/2024 3:00,26,34.5,18.5,56.9,37.9,54.2,2.48,38.6
12/23/2024 4:00,21.4,47.2,9.04,12.3,23.9,50.4,13.5,43.1
12/23/2024 5:00,34.1,51.1,37.5,6.94,50.9,48.1,40,49.4
12/23/2024 6:00,6.83,27.1,2.21,36.8,30.2,12,30.4,42.9
12/23/2024 7:00,0.135,0.184,0.379,54.5,4.31,5.14,33.4,7.29
12/23/2024 8:00,0.15,0.246,0.0244,17.9,8.94,10.5,24.1,1.67
12/23/2024 9:00,6.46,0.565,0.0244,4.78,29.1,27.3,0.0713,12.2
12/23/2024 10:00,2.03,5.57,15.7,4.81,2.1,4.52,12.4,1.85
12/23/2024 11:00,0.0244,0.0262,0.0244,37.8,6.61,31.3,1.7,24.9
12/23/2024 12:00,0.808,3.06,4.44,41.6,28.7,29.3,6.17,9.04
12/23/2024 13:00,0.0944,0.0244,0.0244,2.74,3.27,10.4,1.63,1.48
12/23/2024 14:00,1.95,4.64,3.61,5.43,15.1,10.7,24,17.8
12/23/2024 15:00,9.13,0.0244,0.0244,29.1,7.37,19,2.27,4.04
12/23/2024 16:00,9.36,8.79,8.26,34.8,18.1,28.1,14.7,26.7
12/23/2024 17:00,1.52,2.28,0.0244,24.4,7.49,7.29,6.17,15.3
12/23/2024 18:00,11.8,15.7,9.69,40.6,41.5,24.8,8.6,4.62
12/23/2024 19:00,21.8,7.85,15.9,56.9,34.2,46.1,12.3,37.1
12/23/2024 20:00,23.9,9.12,7.98,53.3,16,36,7.82,30.5
12/23/2024 21:00,2.35,1.98,37,50.1,49.2,26.8,37.6,45.5
12/23/2024 22:00,27.5,34.1,51.2,59.2,55.4,46.7,19.6,17.1
12/23/2024 23:00,34.9,28.7,28.2,48,27.9,22.3,26.5,21.4
12/24/2024 0:00,5.86,4.1,2.49,55.1,17.7,37.3,33.7,49.6
12/24/2024 1:00,12.9,3.76,24.7,59.3,29,32.3,14.1,43.2
12/24/2024 2:00,20.8,6.06,14.9,54.9,25.9,11.8,1.49,41.5
12/24/2024 3:00,33,26.8,28.7,54.5,29.9,9.32,26.5,42.7
12/24/2024 4:00,15.9,24.1,38.5,51.5,35.3,38.8,23.5,49.6
12/24/2024 5:00,38.1,30.5,43,65.2,29.7,44.8,33.4,50.8
12/24/2024 6:00,17.4,29.8,6.76,60.9,36.5,52,27.6,21.6
12/24/2024 7:00,0.0687,3.76,0.0393,8.42,7.87,28.9,10.2,11.1
12/24/2024 8:00,0.459,2.2,2.09,23.4,9.75,12.6,3.05,14.2
12/24/2024 9:00,0.213,0.958,0.0244,5.2,17.1,7.62,0.0244,2.98
12/24/2024 10:00,0.446,0.0284,8,6.74,2.96,16.7,2.7,7.72
12/24/2024 11:00,6.08,4.66,1.57,46.6,15.8,22.7,26.4,5.26
12/24/2024 12:00,2.57,0.0287,0.0244,10.3,7.11,3.77,1.16,4.81
12/24/2024 13:00,0.0244,2,1.23,5.36,27.6,23.2,0.0244,6.06
12/24/2024 14:00,0.0293,2.59,5.77,29.1,5.95,4.83,0.0244,15.1
12/24/2024 15:00,2.11,3.55,0.0244,27.4,13.4,22.1,9.33,0.975
12/24/2024 16:00,3.42,4.65,4.57,25.1,15.1,12.8,8.81,17.3
12/24/2024 17:00,0.431,4.73,0.0244,3.22,5.95,4.39,0.11,0.121
12/24/2024 18:00,10.1,26.5,13.5,35.8,33.2,32.7,4.27,14.1
12/24/2024 19:00,13.7,14.6,9.96,58,33.2,40.1,7.5,26.2
12/24/2024 20:00,20.8,23.6,24.6,53.7,27.4,43.1,24.3,11.1
12/24/2024 21:00,3.75,21.7,8.63,54.3,35.5,27.3,10.4,20.6
12/24/2024 22:00,28.4,5.17,21,56.4,20.9,28.2,20.4,31.1
12/24/2024 23:00,9.03,30.3,35.8,58.6,29.7,23.1,24,10.5
12/25/2024 0:00,24.3,4.09,1.61,56.9,23.8,12.7,31.4,5.13
12/25/2024 1:00,24.5,1.35,17.5,9.3,40.2,11.6,15.3,25.6
12/25/2024 2:00,26.9,1.32,13.3,10.2,7.74,28.5,1.54,6.61
12/25/2024 3:00,30.9,26.2,21.2,48.3,9.23,17.9,0.0244,19
12/25/2024 4:00,33.1,29.8,37.2,50.6,26.7,16.8,14.4,38.2
12/25/2024 5:00,39.3,41.5,6.74,55,32.6,41.8,18.8,40.6
12/25/2024 6:00,19.3,20,6.49,27.1,12.8,38,26.5,47.2
12/25/2024 7:00,1.28,0.82,0.0244,35.6,4.64,17.7,26.2,20.3
12/25/2024 8:00,0.0244,0.213,0.902,2.89,46.8,0.971,30.4,3.04
12/25/2024 9:00,0.254,0.428,0.0244,13.2,10.4,1.91,0.518,2.05
12/25/2024 10:00,2.95,4.67,2.23,6.04,2.35,10.2,0.442,3.63
12/25/2024 11:00,2.07,0.531,1.11,44.1,8.91,3.07,0.394,4.55
12/25/2024 12:00,0.0859,3,9.7,1.58,22.9,0.451,0.0244,8.11
12/25/2024 13:00,0.0244,0.231,0.0244,1.03,4.22,6.25,6.63,8.79
12/25/2024 14:00,5.52,2.95,12.6,26.4,12.6,22.8,0.154,0.0857
12/25/2024 15:00,0.0244,0.902,0.0244,5.01,11.8,1.15,0.131,4.3
12/25/2024 16:00,5.18,3.37,3.1,19.9,8.28,15.3,12.2,3.93
12/25/2024 17:00,0.691,1.48,0.0267,1.89,8.38,1.76,0.122,0.137
12/25/2024 18:00,8.96,4.41,11.8,30.8,32.2,11.9,6.27,8.91
12/25/2024 19:00,11.4,0.761,23.5,33.2,38.7,9.3,27.6,12
12/25/2024 20:00,9.11,3.79,10.4,22.9,11.8,34.3,19.8,25.3
12/25/2024 21:00,25.7,0.509,48.4,41.5,27,29.8,27.7,4.38
12/25/2024 22:00,20.4,0.136,6.57,39.4,35,36.8,1.77,37.4
12/25/2024 23:00,2.08,12.2,14.7,37,31.2,34.9,30.6,16.9
12/26/2024 0:00,8.83,0.0933,9.9,27.5,29.6,2.01,22.8,1.94
12/26/2024 1:00,10.9,1.17,33.9,0.154,11.6,6.94,10,6.63
12/26/2024 2:00,22,0.794,0.0244,1.41,30.2,16.3,18.2,13.4
12/26/2024 3:00,15.8,2.84,29.9,25.6,31.1,1.72,0.0244,10.1
12/26/2024 4:00,27,13.5,41.6,40.5,20.5,38.1,7.67,20.1
12/26/2024 5:00,33,30.6,23.3,50.9,39.2,46.6,29.3,37.9
12/26/2024 6:00,25,38.4,0.228,26.8,29.9,20.9,23.8,27.1
12/26/2024 7:00,0.936,1.74,2.91,5.03,8.8,3.12,28.2,23.8
12/26/2024 8:00,26.5,5.47,9.02,41.4,18.6,20.1,34,29.3
12/26/2024 9:00,1.61,1.05,1.1,1.63,7.03,0.0866,0.0244,6.26
12/26/2024 10:00,0.0244,0.823,1.96,2.7,18.1,0.28,0.0244,2.77
12/26/2024 11:00,0.0244,6.46,1.72,1.53,2.18,5.97,0.142,8.02
12/26/2024 12:00,0.0244,0.0244,3.25,25.8,13.6,0.0244,3.26,1.85
12/26/2024 13:00,5.11,1.61,0.0244,6.27,6.63,3.35,6.61,8.78
12/26/2024 14:00,0.0244,0.512,3.05,0.915,3.81,0.0244,0.0244,0.0313
12/26/2024 15:00,0.356,0.0815,0.0244,5.81,27.7,0.0244,3.86,12.8
12/26/2024 16:00,5.81,4.3,6.07,7.61,5.3,8.84,4.19,10.3
12/26/2024 17:00,0.0685,0.303,0.0244,0.602,3.07,0.0244,0.0244,0.245
12/26/2024 18:00,3.76,4.13,0.878,16.5,26.3,2.57,6.34,4.21
12/26/2024 19:00,6.27,4.1,4.84,17.1,13.1,7.32,5.22,6.91
12/26/2024 20:00,2.12,6.42,15.4,36.6,20.2,2.44,8.14,7.22
12/26/2024 21:00,11.1,21.4,8.44,43.5,35,20.2,24.5,20.1
12/26/2024 22:00,10.1,0.902,3.03,40.6,34.1,23.7,25.7,16.7
12/26/2024 23:00,32.6,6.52,27.8,42.1,43.2,2.46,32.8,9.45
12/27/2024 0:00,13.3,1.49,7.25,30.8,13.6,1.88,32.6,14.4
12/27/2024 1:00,15.1,2.87,1.88,11.1,43.5,9.37,13.5,9.48
12/27/2024 2:00,27,8.49,10,1.64,18,35.2,0.0589,13.7
12/27/2024 3:00,21.2,21.7,4.6,7.17,33.9,20.8,1.81,24
12/27/2024 4:00,21.9,28.5,34,26.5,31.4,18.3,15.4,29.9
12/27/2024 5:00,35.5,38.3,35.7,45.5,46.9,45.2,19.9,45.2
