Time,553,549,561,EB0,E95,EA2,E94,E8D
1/10/2025 15:00,11.6,0.189,2.09,0.988,5.92,1.3,0.122,0.135
1/10/2025 16:00,16.4,12.9,14.2,22.5,27.2,17.6,13.2,23
1/10/2025 17:00,12.7,0.0244,1.73,17.4,1.68,9.42,1.44,5.82
1/10/2025 18:00,10.1,1.55,2.32,10.4,30.1,4.92,2.82,6.27
1/10/2025 19:00,31.8,16.1,21.5,17.7,18.8,15.7,35.3,34
1/10/2025 20:00,24.8,3.69,3.69,21.8,18.1,17.6,9.18,9.66
1/10/2025 21:00,35.2,4.6,4.5,7.85,30.4,27,36.4,12.8
1/10/2025 22:00,35.6,15.8,8.48,36.7,26.8,17.9,30.1,22.5
1/10/2025 23:00,18.3,20.8,32.7,42.9,36.4,1.12,26.4,13.4
1/11/2025 0:00,23.1,27.8,20.7,35.7,31.5,0.531,19.1,22.4
1/11/2025 1:00,8.78,5.45,2.84,16.7,14.7,20.8,1.23,2.74
1/11/2025 2:00,18.7,0.414,4.36,1.08,15.7,3.38,1.29,27
1/11/2025 3:00,15.4,1.38,10.7,10.4,14.9,15,7.86,16.1
1/11/2025 4:00,21.2,11.2,9.67,40.7,12.9,10.6,7.64,16.2
1/11/2025 5:00,38.1,26.9,4,33.5,29.4,38.2,31.8,38.1
1/11/2025 6:00,6.04,26.3,4.99,1.29,12.1,31.8,35.9,32.5
1/11/2025 7:00,5.12,0.362,0.152,11.2,5.36,2.85,36.2,32.3
1/11/2025 8:00,1.1,0.385,0.0298,25.1,6.48,0.0244,3.83,0.888
1/11/2025 9:00,2.27,1.8,0.0244,0.322,1.5,0.0244,0.0244,0.0244
1/11/2025 10:00,2.11,1.91,4.96,5.03,3.43,0.0244,7.09,0.448
1/11/2025 11:00,12.3,6.9,7.76,10.7,13.4,6.48,8.3,22
1/11/2025 12:00,0.368,15,0.0244,0.0244,6.21,5.69,5.37,0.259
1/11/2025 13:00,0.342,0.0356,6.78,1.74,1.19,0.0244,0.0576,4.99
1/11/2025 14:00,8.36,0.0302,0.0244,3.89,19.7,0.113,3.36,0.33
1/11/2025 15:00,2.01,0.0968,6.56,0.121,7.59,4.57,0.562,3.72
1/11/2025 16:00,13.7,4.09,9.66,29.7,24.1,12.2,16.3,28.7
1/11/2025 17:00,4.24,0.516,1.65,2.44,7.64,5.59,1.64,9.16
1/11/2025 18:00,8.71,0.949,15.2,10.2,22.3,9.01,16.1,14.8
1/11/2025 19:00,17.4,9,2.81,27.3,28.5,11.3,34.4,23.1
1/11/2025 20:00,20.5,1.87,20.6,21.7,17.7,16.7,33.8,14.9
1/11/2025 21:00,21.7,16.9,7.86,31.4,35.2,30.1,25.5,15.2
1/11/2025 22:00,13.4,31.4,28.2,43.7,17.7,37.2,24,26.4
1/11/2025 23:00,32.2,23.9,3.88,43,42.4,18.4,30.7,4.6
1/12/2025 0:00,8.41,3.41,24.2,38.8,9.08,8.03,34.6,13.8
1/12/2025 1:00,10.7,7.2,4.95,12.2,16.9,0.0244,14.1,13.2
1/12/2025 2:00,21.1,7.64,11.9,0.117,13.9,3.85,8.91,5.46
1/12/2025 3:00,24.5,2.34,8.49,38.6,24.6,1.24,14.6,36.9
1/12/2025 4:00,12.4,14.8,23.5,30.5,17.4,18.1,41.6,33
1/12/2025 5:00,37.6,27.5,4.44,17,40.1,54.9,43.3,43.7
1/12/2025 6:00,10.1,15.7,1.86,33.6,17.2,14.4,34.2,40.6
